Fecha,Festivo,Zona_de_Carga
21/11/2016,Dia De La Revolucion,LEON
21/11/2016,Dia De La Revolucion,SALVATIERRA
21/11/2016,Dia De La Revolucion,IXIMIQUILPAN
21/11/2016,Dia De La Revolucion,CIENEGA
21/11/2016,Dia De La Revolucion,GUADALAJARA
21/11/2016,Dia De La Revolucion,JIQUILPAN
21/11/2016,Dia De La Revolucion,LOS ALTOS 
21/11/2016,Dia De La Revolucion,ZAPOTLAN
21/11/2016,Dia De La Revolucion,APATZINGAN
21/11/2016,Dia De La Revolucion,MORELIA
21/11/2016,Dia De La Revolucion,URUAPAN
21/11/2016,Dia De La Revolucion,ZACAPU
21/11/2016,Dia De La Revolucion,ZAMORA
21/11/2016,Dia De La Revolucion,TEPIC VALLARTA 
21/11/2016,Dia De La Revolucion,SAN JUAN DEL RIO
21/11/2016,Dia De La Revolucion,MATEHUALA
21/11/2016,Dia De La Revolucion,MINAS
21/11/2016,Dia De La Revolucion,AGUASCALIENTES
21/11/2016,Dia De La Revolucion,COLIMA 
21/11/2016,Dia De La Revolucion,QUERETARO
21/11/2016,Dia De La Revolucion,SAN LUIS POTOSI
21/11/2016,Dia De La Revolucion,ZACATECAS
12/12/2016,Dia De La Virgen De Guadalupe,CELAYA
12/12/2016,Dia De La Virgen De Guadalupe,IRAPUATO
12/12/2016,Dia De La Virgen De Guadalupe,LEON
12/12/2016,Dia De La Virgen De Guadalupe,SALVATIERRA
12/12/2016,Dia De La Virgen De Guadalupe,IXIMIQUILPAN
12/12/2016,Dia De La Virgen De Guadalupe,CIENEGA
12/12/2016,Dia De La Virgen De Guadalupe,GUADALAJARA
12/12/2016,Dia De La Virgen De Guadalupe,JIQUILPAN
12/12/2016,Dia De La Virgen De Guadalupe,LOS ALTOS 
12/12/2016,Dia De La Virgen De Guadalupe,ZAPOTLAN
12/12/2016,Dia De La Virgen De Guadalupe,APATZINGAN
12/12/2016,Dia De La Virgen De Guadalupe,MORELIA
12/12/2016,Dia De La Virgen De Guadalupe,URUAPAN
12/12/2016,Dia De La Virgen De Guadalupe,ZACAPU
12/12/2016,Dia De La Virgen De Guadalupe,ZAMORA
12/12/2016,Dia De La Virgen De Guadalupe,TEPIC VALLARTA 
12/12/2016,Dia De La Virgen De Guadalupe,SAN JUAN DEL RIO
12/12/2016,Dia De La Virgen De Guadalupe,MATEHUALA
12/12/2016,Dia De La Virgen De Guadalupe,MINAS
12/12/2016,Dia De La Virgen De Guadalupe,AGUASCALIENTES
12/12/2016,Dia De La Virgen De Guadalupe,COLIMA 
12/12/2016,Dia De La Virgen De Guadalupe,QUERETARO
12/12/2016,Dia De La Virgen De Guadalupe,SAN LUIS POTOSI
12/12/2016,Dia De La Virgen De Guadalupe,ZACATECAS
12/12/2016,Dia De La Virgen De Guadalupe,FRESNILLO
12/12/2016,Dia De La Virgen De Guadalupe,MANZANILLO
12/12/2016,Dia De La Virgen De Guadalupe,CELAYA
12/12/2016,Dia De La Virgen De Guadalupe,IRAPUATO
12/12/2016,Dia De La Virgen De Guadalupe,LEON
12/12/2016,Dia De La Virgen De Guadalupe,SALVATIERRA
12/12/2016,Dia De La Virgen De Guadalupe,IXIMIQUILPAN
12/12/2016,Dia De La Virgen De Guadalupe,CIENEGA
12/12/2016,Dia De La Virgen De Guadalupe,GUADALAJARA
12/12/2016,Dia De La Virgen De Guadalupe,JIQUILPAN
12/12/2016,Dia De La Virgen De Guadalupe,LOS ALTOS 
12/12/2016,Dia De La Virgen De Guadalupe,ZAPOTLAN
12/12/2016,Dia De La Virgen De Guadalupe,APATZINGAN
12/12/2016,Dia De La Virgen De Guadalupe,MORELIA
12/12/2016,Dia De La Virgen De Guadalupe,URUAPAN
12/12/2016,Dia De La Virgen De Guadalupe,ZACAPU
12/12/2016,Dia De La Virgen De Guadalupe,ZAMORA
12/12/2016,Dia De La Virgen De Guadalupe,TEPIC VALLARTA 
12/12/2016,Dia De La Virgen De Guadalupe,SAN JUAN DEL RIO
12/12/2016,Dia De La Virgen De Guadalupe,MATEHUALA
12/12/2016,Dia De La Virgen De Guadalupe,MINAS
12/12/2016,Dia De La Virgen De Guadalupe,AGUASCALIENTES
12/12/2016,Dia De La Virgen De Guadalupe,COLIMA 
12/12/2016,Dia De La Virgen De Guadalupe,QUERETARO
12/12/2016,Dia De La Virgen De Guadalupe,SAN LUIS POTOSI
12/12/2016,Dia De La Virgen De Guadalupe,ZACATECAS
25/12/2016,Navidad,FRESNILLO
25/12/2016,Navidad,MANZANILLO
25/12/2016,Navidad,CELAYA
25/12/2016,Navidad,IRAPUATO
25/12/2016,Navidad,LEON
25/12/2016,Navidad,SALVATIERRA
25/12/2016,Navidad,IXIMIQUILPAN
25/12/2016,Navidad,CIENEGA
25/12/2016,Navidad,GUADALAJARA
25/12/2016,Navidad,JIQUILPAN
25/12/2016,Navidad,LOS ALTOS 
25/12/2016,Navidad,ZAPOTLAN
25/12/2016,Navidad,APATZINGAN
25/12/2016,Navidad,MORELIA
25/12/2016,Navidad,URUAPAN
25/12/2016,Navidad,ZACAPU
25/12/2016,Navidad,ZAMORA
25/12/2016,Navidad,TEPIC VALLARTA 
25/12/2016,Navidad,SAN JUAN DEL RIO
25/12/2016,Navidad,MATEHUALA
25/12/2016,Navidad,MINAS
25/12/2016,Navidad,AGUASCALIENTES
25/12/2016,Navidad,COLIMA 
25/12/2016,Navidad,QUERETARO
25/12/2016,Navidad,SAN LUIS POTOSI
25/12/2016,Navidad,ZACATECAS
01/01/2017,Ano Nuevo,FRESNILLO
01/01/2017,Ano Nuevo,MANZANILLO
01/01/2017,Ano Nuevo,CELAYA
01/01/2017,Ano Nuevo,IRAPUATO
01/01/2017,Ano Nuevo,LEON
01/01/2017,Ano Nuevo,SALVATIERRA
01/01/2017,Ano Nuevo,IXIMIQUILPAN
01/01/2017,Ano Nuevo,CIENEGA
01/01/2017,Ano Nuevo,GUADALAJARA
01/01/2017,Ano Nuevo,JIQUILPAN
01/01/2017,Ano Nuevo,LOS ALTOS 
01/01/2017,Ano Nuevo,ZAPOTLAN
01/01/2017,Ano Nuevo,APATZINGAN
01/01/2017,Ano Nuevo,MORELIA
01/01/2017,Ano Nuevo,URUAPAN
01/01/2017,Ano Nuevo,ZACAPU
01/01/2017,Ano Nuevo,ZAMORA
01/01/2017,Ano Nuevo,TEPIC VALLARTA 
01/01/2017,Ano Nuevo,SAN JUAN DEL RIO
01/01/2017,Ano Nuevo,MATEHUALA
01/01/2017,Ano Nuevo,MINAS
01/01/2017,Ano Nuevo,AGUASCALIENTES
01/01/2017,Ano Nuevo,COLIMA 
01/01/2017,Ano Nuevo,QUERETARO
01/01/2017,Ano Nuevo,SAN LUIS POTOSI
01/01/2017,Ano Nuevo,ZACATECAS
06/02/2017,Aniversario De La Constitucion De 1917,FRESNILLO
06/02/2017,Aniversario De La Constitucion De 1917,MANZANILLO
06/02/2017,Aniversario De La Constitucion De 1917,CELAYA
06/02/2017,Aniversario De La Constitucion De 1917,IRAPUATO
06/02/2017,Aniversario De La Constitucion De 1917,LEON
06/02/2017,Aniversario De La Constitucion De 1917,SALVATIERRA
06/02/2017,Aniversario De La Constitucion De 1917,IXIMIQUILPAN
06/02/2017,Aniversario De La Constitucion De 1917,CIENEGA
06/02/2017,Aniversario De La Constitucion De 1917,GUADALAJARA
06/02/2017,Aniversario De La Constitucion De 1917,JIQUILPAN
06/02/2017,Aniversario De La Constitucion De 1917,LOS ALTOS 
06/02/2017,Aniversario De La Constitucion De 1917,ZAPOTLAN
06/02/2017,Aniversario De La Constitucion De 1917,APATZINGAN
06/02/2017,Aniversario De La Constitucion De 1917,MORELIA
06/02/2017,Aniversario De La Constitucion De 1917,URUAPAN
06/02/2017,Aniversario De La Constitucion De 1917,ZACAPU
06/02/2017,Aniversario De La Constitucion De 1917,ZAMORA
06/02/2017,Aniversario De La Constitucion De 1917,TEPIC VALLARTA 
06/02/2017,Aniversario De La Constitucion De 1917,SAN JUAN DEL RIO
06/02/2017,Aniversario De La Constitucion De 1917,MATEHUALA
06/02/2017,Aniversario De La Constitucion De 1917,MINAS
06/02/2017,Aniversario De La Constitucion De 1917,AGUASCALIENTES
06/02/2017,Aniversario De La Constitucion De 1917,COLIMA 
06/02/2017,Aniversario De La Constitucion De 1917,QUERETARO
06/02/2017,Aniversario De La Constitucion De 1917,SAN LUIS POTOSI
06/02/2017,Aniversario De La Constitucion De 1917,ZACATECAS
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,FRESNILLO
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,MANZANILLO
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,CELAYA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,IRAPUATO
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,LEON
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,SALVATIERRA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,IXIMIQUILPAN
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,CIENEGA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,GUADALAJARA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,JIQUILPAN
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,LOS ALTOS 
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,ZAPOTLAN
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,APATZINGAN
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,MORELIA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,URUAPAN
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,ZACAPU
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,ZAMORA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,TEPIC VALLARTA 
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,SAN JUAN DEL RIO
